k,Values,Percent
1 , 0.999 , 1.0
1 , 4.891 , 5.0
1 , 9.474 , 10.0
1 , 13.864 , 15.0
1 , 18.031 , 20.0
1 , 32.76 , 40.0
1 , 39.491 , 50.0
1 , 55.289 , 80.0
2 , 0.96 , 1.0
2 , 5.138 , 5.0
2 , 10.507 , 10.0
2 , 15.458 , 15.0
2 , 20.625 , 20.0
2 , 40.38 , 40.0
2 , 48.584 , 50.0
2 , 68.594 , 80.0
3 , 0.566 , 1.0
3 , 3.135 , 5.0
3 , 7.675 , 10.0
3 , 12.711 , 15.0
3 , 18.611 , 20.0
3 , 42.873 , 40.0
3 , 53.87 , 50.0
3 , 77.841 , 80.0
4 , 0.561 , 1.0
4 , 2.896 , 5.0
4 , 6.857 , 10.0
4 , 11.997 , 15.0
4 , 18.366 , 20.0
4 , 47.782 , 40.0
4 , 60.82 , 50.0
4 , 85.8 , 80.0
5 , 0.486 , 1.0
5 , 2.611 , 5.0
5 , 6.297 , 10.0
5 , 11.906 , 15.0
5 , 18.949 , 20.0
5 , 53.573 , 40.0
5 , 68.32 , 50.0
5 , 91.628 , 80.0
