k,Valeurs,Percent
1 , 1.062 , 1.0
1 , 4.908 , 5.0
1 , 9.662 , 10.0
1 , 13.962 , 15.0
1 , 18.187 , 20.0
1 , 32.853 , 40.0
1 , 39.336 , 50.0
1 , 54.887 , 80.0
2 , 1.024 , 1.0
2 , 5.116 , 5.0
2 , 10.23 , 10.0
2 , 15.315 , 15.0
2 , 20.805 , 20.0
2 , 40.229 , 40.0
2 , 48.713 , 50.0
2 , 68.679 , 80.0
3 , 0.519 , 1.0
3 , 3.033 , 5.0
3 , 7.559 , 10.0
3 , 12.566 , 15.0
3 , 18.436 , 20.0
3 , 42.68 , 40.0
3 , 53.857 , 50.0
3 , 77.496 , 80.0
4 , 0.488 , 1.0
4 , 2.883 , 5.0
4 , 6.81 , 10.0
4 , 12.208 , 15.0
4 , 18.443 , 20.0
4 , 47.376 , 40.0
4 , 60.545 , 50.0
4 , 85.86 , 80.0
5 , 0.542 , 1.0
5 , 2.761 , 5.0
5 , 6.438 , 10.0
5 , 11.88 , 15.0
5 , 19.317 , 20.0
5 , 53.783 , 40.0
5 , 68.114 , 50.0
5 , 91.425 , 80.0
